pcode,condition,seat,trial_order,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,wrong_Q19,wrong_Q20,wrong_Q21,n_wrong_row,exclude_participant
participant_054,4,1,253C671BA04,5,5,5,1,1,1,5,5,5,5,5,5,1,5,5,5,1,5,1,5,-1,False,False,False,0,False
participant_054,5,1,253C671BA04,5,5,5,1,1,5,5,5,1,5,1,1,4,5,1,5,1,5,1,5,-1,False,False,False,0,False
participant_054,6,1,253C671BA04,4,5,5,1,1,1,5,1,2,5,1,2,1,1,1,5,2,5,1,5,-1,False,False,False,0,False
participant_054,7,1,253C671BA04,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,5,1,1,1,5,-1,False,False,False,0,False
participant_054,A,1,253C671BA04,5,1,5,1,1,1,5,5,5,5,5,5,2,5,5,4,1,1,1,5,-1,False,False,False,0,False
participant_054,B,1,253C671BA04,5,5,5,1,1,1,1,5,1,5,5,5,1,1,1,5,1,5,1,5,-1,False,False,False,0,False
participant_054,C,1,253C671BA04,1,1,1,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,5,-1,False,False,False,0,False
participant_055,0,3,253C671BA04,3,2,3,1,1,1,1,2,1,3,4,3,3,2,1,4,3,4,1,5,-1,False,False,False,0,False
participant_055,1,3,253C671BA04,5,4,5,1,1,1,1,1,1,2,3,3,3,1,1,2,3,4,1,5,-1,False,False,False,0,False
participant_055,2,3,253C671BA04,3,4,4,2,2,1,1,1,3,4,4,4,5,4,2,4,4,4,1,5,-1,False,False,False,0,False
participant_055,3,3,253C671BA04,4,4,4,4,3,2,2,2,2,4,3,2,5,4,5,3,3,3,1,5,-1,False,False,False,0,False
participant_055,4,3,253C671BA04,5,5,5,2,3,1,5,4,5,4,3,4,3,4,2,5,4,5,1,5,-1,False,False,False,0,False
participant_055,5,3,253C671BA04,5,5,5,2,2,2,2,2,3,3,4,4,5,3,2,2,2,4,1,5,-1,False,False,False,0,False
participant_055,6,3,253C671BA04,5,5,4,1,1,1,2,2,2,2,2,2,2,2,2,4,1,5,1,5,-1,False,False,False,0,False
participant_055,7,3,253C671BA04,1,1,1,1,1,2,1,1,1,2,1,5,1,3,1,1,1,1,1,5,-1,False,False,False,0,False
participant_055,A,3,253C671BA04,5,4,4,2,3,2,5,2,5,5,3,4,4,4,3,2,1,2,1,5,-1,False,False,False,0,False
participant_055,B,3,253C671BA04,5,5,5,1,1,1,3,3,2,4,3,4,1,1,1,3,2,3,1,5,-1,False,False,False,0,False
participant_055,C,3,253C671BA04,4,1,1,5,5,1,3,3,4,2,1,1,4,4,3,2,2,2,1,5,-1,False,False,False,0,False
