ResponseId,substance_codes,substance_labels,primary_substance_code,primary_substance,dosage_code,dosage_label,dosage_text,other_substances_any,other_substances_text,stage_code,stage_label,when_code,when_label
R_8iVJ1ho3Z4k8ZAq,[4],DMT,4.0,DMT,3.0,moderate,32mg (weighed but probably less sufficiently vaporised and inhaled),False,,3,middle,1,within the past week
R_5jsnI41DJqrDNQZ,[2],Psilocybin,2.0,Psilocybin,4.0,high,5.5g,False,,2,early middle,2,within the past month
R_2CK01qMaYfcChaX,[4],DMT,4.0,DMT,2.0,small,,False,,2,early middle,3,within the past 3 months
R_7osZ5aSJ6UotKKt,[2],Psilocybin,2.0,Psilocybin,2.0,small,,False,,3,middle,2,within the past month
R_3QFXKZfW1HNB4U1,[2],Psilocybin,2.0,Psilocybin,5.0,very high,7 grams,False,,1,beginning,1,within the past week
R_27vBMfv7MGk4616,[4],DMT,4.0,DMT,4.0,high,,False,,2,early middle,3,within the past 3 months
R_7vVagAXmB8XUfh7,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g+ dried psilocybe cubensis,False,,4,late middle,4,within the past 6 months
R_8YyoKugoMTn4M1z,[1],LSD,1.0,LSD,1.0,very small,"Every time I microdose, estimated 10-15 ug via volumetric titrations 2-3x a week. A ~250 ug tab was placed into 25 ml of autoclaved DDW for 48h in the fridge prior to removal. I then take ~1.2-1.5 mL of this for each microdose. The first time I tried this batch of tabs took a quarter tab (~65 ug) to test the strength and had a full trip with beautiful fireworks-like visuals of blue and yellow colors when I was trying to fall asleep. ",True,,1,beginning,1,within the past week
R_1GxAvm8KltMMzxy,[4],DMT,4.0,DMT,3.0,moderate,,True,,3,middle,1,within the past week
R_3QK9VzlbRCvGUNb,"[2, 4]","Psilocybin, DMT",,,4.0,high,"1.5g psilocybin, 3x 10-second draws on a DMT vape cartridge",True,,2,early middle,1,within the past week
R_4NPATCn461mLqxu,"[1, 2, 7]","LSD, Psilocybin, 2C-B",,,4.0,high,70mg 2cb,False,,1,beginning,3,within the past 3 months
R_8iXuu7H3nTSfYYJ,[11],Other,,,3.0,moderate,,False,,3,middle,1,within the past week
R_2wuG6IXMtnlbTvu,"[1, 4]","LSD, DMT",,,4.0,high,"25mg DMT, 250ug LSD",False,,3,middle,1,within the past week
R_6jNtG02JTkb73U0,"[1, 7]","LSD, 2C-B",,,3.0,moderate,"LSD: 130 micrograms, 2-CB: 20 milligrams",True,,3,middle,2,within the past month
R_8gUQycXKMprZPFL,[6],5-MeO-DMT,6.0,5-MeO-DMT,4.0,high,,False,,1,beginning,2,within the past month
R_7LImanS7l4SfAir,[1],LSD,1.0,LSD,4.0,high,Roughly 200ug (micrograms),False,,2,early middle,2,within the past month
R_3X0WlmQtw40DxaZ,[2],Psilocybin,2.0,Psilocybin,4.0,high,3 grams APE,True,,2,early middle,3,within the past 3 months
R_9yY0qviKJyp5GiB,[2],Psilocybin,2.0,Psilocybin,2.0,small,"One large, dried mushroom",False,,2,early middle,1,within the past week
R_1RPKbY79g78GY8Z,[2],Psilocybin,2.0,Psilocybin,4.0,high,4G,False,,2,early middle,1,within the past week
R_1n0zaXyH6ohTTib,[2],Psilocybin,2.0,Psilocybin,4.0,high,,False,,5,end,3,within the past 3 months
R_34CmpeXlVQoqBRT,"[1, 4]","LSD, DMT",,,5.0,very high,"300mcg of 1P-LSD, 20mg of N,N-DMT",False,,2,early middle,1,within the past week
R_18YCSXlA5fLl7jP,[11],Other,,,3.0,moderate,200mg initial dose. 300mg additional ,False,,2,early middle,1,within the past week
R_3vdL508QUg6aR8p,[4],DMT,4.0,DMT,4.0,high,,False,,2,early middle,1,within the past week
R_3PoESucOHvYAbBO,[8],Salvia,8.0,Salvia,2.0,small,Thumb-index pinch of 20x extract,False,,2,early middle,1,within the past week
R_7fH4Uwtn6A5kYP0,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3g mushrooms,False,,4,late middle,7,Unknown(7)
R_1mO2vkLwu78FG8x,[2],Psilocybin,2.0,Psilocybin,4.0,high,4 g,False,,2,early middle,7,Unknown(7)
R_5kNOul3JzyJ4xyu,"[1, 11]","LSD, Other",,,5.0,very high,"100ug LSD, 5mg DOM",True,DOM,2,early middle,1,within the past week
R_4c9LpjNyoJ9tcKR,[2],Psilocybin,2.0,Psilocybin,4.0,high,2.5 grams of dried psilocybe subaeruginosa,True,,2,early middle,7,Unknown(7)
R_6TwA8WyH84D4kNj,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g ,False,,3,middle,3,within the past 3 months
R_2atwkWhB5uThaiB,[11],Other,,,3.0,moderate,,True,Ketamine (not a traditional psychedelic) ,3,middle,2,within the past month
R_8ijU2gc80n03bLy,[11],Other,,,3.0,moderate,A couple of bumps (<0.1g),True,Ketamine,3,middle,1,within the past week
R_8gu5P1JNpANUF7k,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,10-12 grams,False,,2,early middle,1,within the past week
R_7JW7F9vQUpTcT7j,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g ,False,,4,late middle,7,Unknown(7)
R_5QF8eBnBf7KdwlV,[2],Psilocybin,2.0,Psilocybin,2.0,small,,False,,3,middle,1,within the past week
R_5PdebkDfuiyxn1A,[9],Iboga,9.0,Iboga,3.0,moderate,12g,False,,2,early middle,3,within the past 3 months
R_4BFbOLahtq76Epz,"[2, 3, 4, 6, 5]","Psilocybin, Ayahuasca, DMT, 5-MeO-DMT, Mescaline",,,4.0,high,,False,,2,early middle,1,within the past week
R_2kgruKDCPJryY7L,[11],Other,,,3.0,moderate,20mg,True,4-ho-mipt,4,late middle,3,within the past 3 months
R_5IbIANEoFkvnH9f,[6],5-MeO-DMT,6.0,5-MeO-DMT,4.0,high,,False,,1,beginning,4,within the past 6 months
R_3XgCnO2PFLRTrfb,[4],DMT,4.0,DMT,3.0,moderate,30mg DMT,False,,1,beginning,1,within the past week
R_7JBWyQIvPN5Mn5f,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g,False,,2,early middle,1,within the past week
R_5VpIpoJ6NLtbqud,[2],Psilocybin,2.0,Psilocybin,4.0,high,2 grams albino penis envy,True,,2,early middle,1,within the past week
R_8IYwikfq6sqEm14,[1],LSD,1.0,LSD,3.0,moderate,,True,,3,middle,2,within the past month
R_6FJ7nh5uyI7mRQw,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g golden teacher mushrooms (psilocybin),False,,2,early middle,3,within the past 3 months
R_50SegqSp1pViEwz,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2.6g,False,,2,early middle,1,within the past week
R_2h9kJ0GNGHOs3JU,[1],LSD,1.0,LSD,1.0,very small,About 3/8s of a ~100ug tab,True,,4,late middle,4,within the past 6 months
R_3YbOzhhZlGGdgHL,[6],5-MeO-DMT,6.0,5-MeO-DMT,3.0,moderate,7 mg via subcutaneous injection,False,,3,middle,3,within the past 3 months
R_5JIgR9BWV3XH0CB,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,True,,3,middle,2,within the past month
R_6njcVlMg90NBySB,[2],Psilocybin,2.0,Psilocybin,5.0,very high,10 grams,False,,4,late middle,1,within the past week
R_7WUNoxTOnO6U2yJ,[1],LSD,1.0,LSD,5.0,very high,900ug,False,,2,early middle,1,within the past week
R_3MaOrycpd4yC1P3,[4],DMT,4.0,DMT,4.0,high,,False,,3,middle,1,within the past week
R_3jDQmBnrSWUklzz,[2],Psilocybin,2.0,Psilocybin,4.0,high,3.5g,False,,1,beginning,1,within the past week
R_60Iuga4Z6yL5CI8,[2],Psilocybin,2.0,Psilocybin,4.0,high,approximately 40 mg psilocybin (determined via psilo qtest),False,,3,middle,4,within the past 6 months
R_3CO13leyO0zLD5W,[11],Other,,,2.0,small,4 mg,False,,3,middle,2,within the past month
R_9EbOzvpNpa2wilk,[1],LSD,1.0,LSD,4.0,high,150ug,False,,3,middle,2,within the past month
R_7QY9q8XilRLKstG,[11],Other,,,7.0,unknown,Whole chocolate bar,False,,3,middle,1,within the past week
